1608;R SENHOR DOS PASSOS 259;3029-3360;-51.22348667539000000;-30.02937990572600000
1609;AV ALBERTO BINS 308;3221-5477;-51.22352167539000000;-30.02819390572600000
1610;R SENHOR DOS PASSOS 30;;-51.22404467539000000;-30.02730090572600000
1611;R CARLOS CHAGAS 55;;-51.22294967539000000;-30.02498490572600000
1612;R PINTO BANDEIRA 280;;-51.22238467539000000;-30.02697790572600000
1613;AV ALBERTO BINS 514;3227-8014;-51.22175467539000000;-30.02808190572600000
1614;R COM MANOEL PEREIRA 72;;-51.22147067539000000;-30.02598890572600000
1615;AV INDEPENDENCIA 275;3224-0810;-51.21885267539000000;-30.02959090572600000
1616;R IRMAO JOSE OTAO 540;;-51.21401667539000000;-30.03131990572600000
1617;R DA CONCEICAO 127;;-51.22042667539000000;-30.02439390572600000
1618;LG VESPASIANO JULIO VEPPO;3221-9371;-51.21929367539000000;-30.02384390572600000
1619;AV CINCO DE NOVEMBRO 30;;-51.21452767539000000;-30.07564890572600000
1620;PRACA GUIA LOPES 72;3336-3342;-51.21176167539000000;-30.08148590572600000
1621;AV TERESOPOLIS 2888;3336-2635;-51.20916667539000000;-30.07925790572600000
1622;R VINTE E QUATRO DE OUTUBRO 946;;-51.19934767539000000;-30.02371390572600000
1623;AV PROF OSCAR PEREIRA 2728;3339-0456;-51.20251667539000000;-30.07415590572600000
1624;R NUNES 596;;-51.20478567539000000;-30.07014590572600000
1625;R GAL CUNHA LOUZADA 10;3339-6812;-51.20474267539000000;-30.06949390572600000
1626;R DONA CECILIA 18;;-51.21551567539000000;-30.05766190572600000
1627;AV RAMIRO BARCELOS 1101;;-51.20843467539000000;-30.02928590572600000
1628;R PROF OSCAR PEREIRA 400;;-51.21113167539000000;-30.05467690572600000
1629;R BOTAFOGO 1455;3223-3555;-51.21479267539000000;-30.05527990572600000
1630;PCA PRINCESA ISABEL S/N;3223-1555;-51.21291967539000000;-30.05067090572600000
1631;AV BORGES DE MEDEIROS 421;;-51.22776967539000000;-30.03054790572600000
1632;R MOISES ANTUNES DA CUNHA 55;3217-0833;-51.20716267539000000;-30.06061090572600000
1633;R TOMAS EDSON 61;;-51.20113167539000000;-30.05881190572600000
1634;R CARLOS PESSOA DE BRUM 150;;-51.20667467539000000;-30.05661390572600000
1635;AV MONTE CRISTO 1194;;-51.22136567539000000;-30.12350690572600000
1636;R JOSE DO PATROCINIO 851;;-51.22111467539000000;-30.04188490572600000
1637;R TEN ARY TARRAGO 340;;-51.13579467539000000;-30.03925090572600000
1638;R VICENTE DA FONTOURA 1164;3232-7848;-51.20313767539000000;-30.04937690572600000
1639;R MADRE ANA 314;3339-2777;-51.19867667539000000;-30.07870090572600000
1640;R CLEMENCIANO BARNASQUE 30;;-51.21168767539000000;-30.08179890572600000
1641;AV VENANCIO AIRES 1355;;-51.20924767539000000;-30.03714990572600000
1642;AV BORGES DE MEDEIROS 1565;3211-0505;-51.22892067539000000;-30.04286490572600000
1643;R SAO MIGUEL 240;;-51.19262467539000000;-30.07262590572600000
1644;AV PANAMERICANA 1140;;-51.15159067539000000;-30.00036390572600000
1645;R DO PRESIDIO 476;;-51.18280167539000000;-30.07096290572600000
1646;AV APARICIO CEL BORGES 2700;3339-2633;-51.18568267539000000;-30.06358890572600000
1647;R FERNANDO GOMES 100;;-51.20534667539000000;-30.02654290572600000
1648;R GAL TIBURCIO 50;;-51.19526867539000000;-30.04961790572600000
1649;AV BENTO GONCALVES 2905;;-51.18587267539000000;-30.06343190572600000
1650;R VALPARAISO 539;3336-2748;-51.18860867539000000;-30.05358590572600000
1651;R NILOPOLIS 540;;-51.18600867539000000;-30.03603890572600000
1652;AV OSVALDO ARANHA 526;;-51.21684267539000000;-30.03305890572600000
1653;AV ASSIS BRASIL 4320;;-51.14575267539000000;-30.00971990572600000
1654;R DEZOITO DE SETEMBRO 199;3315-4433;-51.18653667539000000;-30.05622990572600000
1655;R ITABORAY 677;;-51.18710967539000000;-30.05133490572600000
1656;R FELIZARDO 300;3332-4977;-51.18673667539000000;-30.05016690572600000
1657;R FELIZARDO FURTADO 649;3330-1192;-51.18452167539000000;-30.05060690572600000
1658;AV JOAO PESSOA 1788;3223-7447;-51.21299567539000000;-30.04550790572600000
1659;R JERONIMO DE ORNELLAS 14;3223-4852;-51.21462567539000000;-30.04353290572600000
1660;AV IPIRANGA 1801;3223-9245;-51.21286967539000000;-30.04784590572600000
1661;R MARIANTE 399;;-51.20416267539000000;-30.03211790572600000
1662;AV JOAO PESSOA 1476;;-51.21418867539000000;-30.04392490572600000
1663;R JERONIMO DE ORNELLAS 287;;-51.21198367539000000;-30.04192690572600000
1664;R MUCIO TEIXEIRA 699;;-51.22424467539000000;-30.04940990572600000
1665;AV CARLOS GOMES 565;3388-4728;-51.18228167539000000;-30.02704890572600000
1666;AV FARRAPOS 1962;;-51.20553467539000000;-30.01494390572600000
1667;R SANTA TERESINHA 79;3330-5831;-51.21094667539000000;-30.03798690572600000
1668;R JERONIMO DE ORNELAS 601;3223-2512;-51.20941367539000000;-30.04054090572600000
1669;R AUGUSTO PESTANA 10;3331-4731;-51.20929467539000000;-30.03723790572600000
1670;AV JOSE BONIFACIO 753;3321-4545;-51.21022967539000000;-30.03644090572600000
1671;R FERNANDES VIEIRA 345;3311-3208;-51.21098467539000000;-30.03297390572600000
1672;AV PRINCESA ISABEL 395;3223-5334;-51.20827967539000000;-30.04842790572600000
1673;AV PRINCESA ISABEL 771;;-51.20619267539000000;-30.04736490572600000
1674;R SERGIO JUNGBLUT DIETRICH 10;;-51.14253767539000000;-29.99699490572600000
1675;R SAO LUIS 96;3223-3944;-51.20674467539000000;-30.04442190572600000
1676;R SAO MANOEL 1213;;-51.20453467539000000;-30.04476690572600000
1677;R RAMIRO BARCELOS 2350;3332-5789;-51.20748467539000000;-30.03877190572600000
1678;R GIORDANO BRUNO 388;;-51.20662867539000000;-30.03722590572600000
1679;R CABRAL 15;3379-1744;-51.20821967539000000;-30.03301590572600000
1680;R CEL PAULINO TEIXEIRA 423;3331-9633;-51.20313467539000000;-30.03837190572600000
1681;R JOAO GUIMARAES 87;;-51.20165267539000000;-30.03911090572600000
1682;R PROF DUPLAN 14;3388-8796;-51.20109367539000000;-30.03909790572600000
1683;R SANTO ANTONIO 782;;-51.21419567539000000;-30.03163290572600000
1684;AV ASSIS BRASI 3145;;-51.15582367539000000;-30.01055290572600000
1685;R VASCO DA GAMA 15;3312-4967;-51.21229267539000000;-30.03178290572600000
1686;R FERNANDES VIEIRA 261;3311-3237;-51.21095967539000000;-30.03172090572600000
1687;R TIRADENTES 333;;-51.20920667539000000;-30.02553590572600000
1688;R FREDERICO LINCK 25;3311-4185;-51.20835167539000000;-30.02972590572600000
1689;AV RAMIRO BARCELOS 919;3311-3588;-51.20916567539000000;-30.02702090572600000
1690;AV CRISTOVAO COLOMBO 545;3018-8818;-51.21214167539000000;-30.02566090572600000
1691;PCA BARTOLOMEU DE GUSMAO 10;;-51.21070967539000000;-30.02083390572600000
1692;AV FARRAPOS 1298;;-51.21027867539000000;-30.01959090572600000
1693;R VERISSIMO ROSA 44;;-51.19575267539000000;-30.05762290572600000
1694;R MIGUEL TOSTES 621;;-51.20563267539000000;-30.03382790572600000
